"SampleID"	"PatientID"	"CellType"
"Breast-3_PC-2"	"Breast-3"	"PC-2"
"Breast-3_PC-3"	"Breast-3"	"PC-3"
"Breast-3_CM1_CD4+_T"	"Breast-3"	"CM1_CD4+_T"
"Breast-3_CM2_CD4+_T"	"Breast-3"	"CM2_CD4+_T"
"Breast-3_EM_CD8+_T"	"Breast-3"	"EM_CD8+_T"
"Breast-3_Treg"	"Breast-3"	"Treg"
"Colorectal_Astrocytes"	"Colorectal"	"Astrocytes"
"Colorectal_B-c1"	"Colorectal"	"B-c1"
"Colorectal_B-c2"	"Colorectal"	"B-c2"
"Colorectal_CD1C+/CLEC10A+_cDC2"	"Colorectal"	"CD1C+/CLEC10A+_cDC2"
"Colorectal_EC-1"	"Colorectal"	"EC-1"
"Colorectal_EC-2"	"Colorectal"	"EC-2"
"Colorectal_APOE+_MAMs"	"Colorectal"	"APOE+_MAMs"
"Colorectal_S100A8+_MAMs"	"Colorectal"	"S100A8+_MAMs"
"Colorectal_MSC-like-c1"	"Colorectal"	"MSC-like-c1"
"Colorectal_MSC-like-c2"	"Colorectal"	"MSC-like-c2"
"Colorectal_MTC"	"Colorectal"	"MTC"
"Colorectal_PC-1"	"Colorectal"	"PC-1"
"Colorectal_PC-2"	"Colorectal"	"PC-2"
"Colorectal_PC-3"	"Colorectal"	"PC-3"
"Colorectal_CM1_CD4+_T"	"Colorectal"	"CM1_CD4+_T"
"Colorectal_CM2_CD4+_T"	"Colorectal"	"CM2_CD4+_T"
"Colorectal_EM_CD8+_T"	"Colorectal"	"EM_CD8+_T"
"Colorectal_CM_T"	"Colorectal"	"CM_T"
"Colorectal_Treg"	"Colorectal"	"Treg"
"Colorectal_vSMCs"	"Colorectal"	"vSMCs"
"Lung-1_Astrocytes"	"Lung-1"	"Astrocytes"
"Lung-1_B-c2"	"Lung-1"	"B-c2"
"Lung-1_EC-1"	"Lung-1"	"EC-1"
"Lung-1_EC-3"	"Lung-1"	"EC-3"
"Lung-1_APOE+_MAMs"	"Lung-1"	"APOE+_MAMs"
"Lung-1_S100A8+_MAMs"	"Lung-1"	"S100A8+_MAMs"
"Lung-1_MSC-like-c1"	"Lung-1"	"MSC-like-c1"
"Lung-1_MSC-like-c2"	"Lung-1"	"MSC-like-c2"
"Lung-1_MTC"	"Lung-1"	"MTC"
"Lung-1_PC-1"	"Lung-1"	"PC-1"
"Lung-1_PC-2"	"Lung-1"	"PC-2"
"Lung-1_PC-3"	"Lung-1"	"PC-3"
"Lung-1_CM2_CD4+_T"	"Lung-1"	"CM2_CD4+_T"
"Lung-1_Treg"	"Lung-1"	"Treg"
"Lung-1_vSMCs"	"Lung-1"	"vSMCs"
"Lung-2_Astrocytes"	"Lung-2"	"Astrocytes"
"Lung-2_B-c1"	"Lung-2"	"B-c1"
"Lung-2_B-c2"	"Lung-2"	"B-c2"
"Lung-2_CD1C+/CLEC10A+_cDC2"	"Lung-2"	"CD1C+/CLEC10A+_cDC2"
"Lung-2_EC-1"	"Lung-2"	"EC-1"
"Lung-2_EC-2"	"Lung-2"	"EC-2"
"Lung-2_EC-3"	"Lung-2"	"EC-3"
"Lung-2_APOE+_MAMs"	"Lung-2"	"APOE+_MAMs"
"Lung-2_S100A8+_MAMs"	"Lung-2"	"S100A8+_MAMs"
"Lung-2_MSC-like-c1"	"Lung-2"	"MSC-like-c1"
"Lung-2_MSC-like-c2"	"Lung-2"	"MSC-like-c2"
"Lung-2_MTC"	"Lung-2"	"MTC"
"Lung-2_PC-1"	"Lung-2"	"PC-1"
"Lung-2_PC-2"	"Lung-2"	"PC-2"
"Lung-2_PC-3"	"Lung-2"	"PC-3"
"Lung-2_CM1_CD4+_T"	"Lung-2"	"CM1_CD4+_T"
"Lung-2_CM2_CD4+_T"	"Lung-2"	"CM2_CD4+_T"
"Lung-2_EM_CD8+_T"	"Lung-2"	"EM_CD8+_T"
"Lung-2_CM_T"	"Lung-2"	"CM_T"
"Lung-2_Treg"	"Lung-2"	"Treg"
"Lung-2_vSMCs"	"Lung-2"	"vSMCs"
"Lung-3_Astrocytes"	"Lung-3"	"Astrocytes"
"Lung-3_B-c1"	"Lung-3"	"B-c1"
"Lung-3_B-c2"	"Lung-3"	"B-c2"
"Lung-3_CD1C+/CLEC10A+_cDC2"	"Lung-3"	"CD1C+/CLEC10A+_cDC2"
"Lung-3_EC-1"	"Lung-3"	"EC-1"
"Lung-3_EC-2"	"Lung-3"	"EC-2"
"Lung-3_EC-3"	"Lung-3"	"EC-3"
"Lung-3_APOE+_MAMs"	"Lung-3"	"APOE+_MAMs"
"Lung-3_S100A8+_MAMs"	"Lung-3"	"S100A8+_MAMs"
"Lung-3_MSC-like-c1"	"Lung-3"	"MSC-like-c1"
"Lung-3_MSC-like-c2"	"Lung-3"	"MSC-like-c2"
"Lung-3_MTC"	"Lung-3"	"MTC"
"Lung-3_PC-1"	"Lung-3"	"PC-1"
"Lung-3_PC-2"	"Lung-3"	"PC-2"
"Lung-3_PC-3"	"Lung-3"	"PC-3"
"Lung-3_CM1_CD4+_T"	"Lung-3"	"CM1_CD4+_T"
"Lung-3_CM2_CD4+_T"	"Lung-3"	"CM2_CD4+_T"
"Lung-3_EM_CD8+_T"	"Lung-3"	"EM_CD8+_T"
"Lung-3_CM_T"	"Lung-3"	"CM_T"
"Lung-3_Treg"	"Lung-3"	"Treg"
"Lung-3_vSMCs"	"Lung-3"	"vSMCs"
"Melan-1_Astrocytes"	"Melan-1"	"Astrocytes"
"Melan-1_B-c1"	"Melan-1"	"B-c1"
"Melan-1_B-c2"	"Melan-1"	"B-c2"
"Melan-1_CD1C+/CLEC10A+_cDC2"	"Melan-1"	"CD1C+/CLEC10A+_cDC2"
"Melan-1_EC-1"	"Melan-1"	"EC-1"
"Melan-1_EC-2"	"Melan-1"	"EC-2"
"Melan-1_EC-3"	"Melan-1"	"EC-3"
"Melan-1_APOE+_MAMs"	"Melan-1"	"APOE+_MAMs"
"Melan-1_S100A8+_MAMs"	"Melan-1"	"S100A8+_MAMs"
"Melan-1_MSC-like-c1"	"Melan-1"	"MSC-like-c1"
"Melan-1_MSC-like-c2"	"Melan-1"	"MSC-like-c2"
"Melan-1_MTCs"	"Melan-1"	"MTCs"
"Melan-1_PC-1"	"Melan-1"	"PC-1"
"Melan-1_PC-2"	"Melan-1"	"PC-2"
"Melan-1_PC-3"	"Melan-1"	"PC-3"
"Melan-1_CM1_CD4+_T"	"Melan-1"	"CM1_CD4+_T"
"Melan-1_CM2_CD4+_T"	"Melan-1"	"CM2_CD4+_T"
"Melan-1_EM_CD8+_T"	"Melan-1"	"EM_CD8+_T"
"Melan-1_CM_T"	"Melan-1"	"CM_T"
"Melan-1_Treg"	"Melan-1"	"Treg"
"Melan-1_vSMCs"	"Melan-1"	"vSMCs"
"Melan-2_Astrocytes"	"Melan-2"	"Astrocytes"
"Melan-2_B-c1"	"Melan-2"	"B-c1"
"Melan-2_B-c2"	"Melan-2"	"B-c2"
"Melan-2_CD1C+/CLEC10A+_cDC2"	"Melan-2"	"CD1C+/CLEC10A+_cDC2"
"Melan-2_EC-1"	"Melan-2"	"EC-1"
"Melan-2_EC-2"	"Melan-2"	"EC-2"
"Melan-2_EC-3"	"Melan-2"	"EC-3"
"Melan-2_APOE+_MAMs"	"Melan-2"	"APOE+_MAMs"
"Melan-2_S100A8+_MAMs"	"Melan-2"	"S100A8+_MAMs"
"Melan-2_MSC-like-c1"	"Melan-2"	"MSC-like-c1"
"Melan-2_MSC-like-c2"	"Melan-2"	"MSC-like-c2"
"Melan-2_MTCs"	"Melan-2"	"MTCs"
"Melan-2_PC-1"	"Melan-2"	"PC-1"
"Melan-2_PC-2"	"Melan-2"	"PC-2"
"Melan-2_PC-3"	"Melan-2"	"PC-3"
"Melan-2_CM1_CD4+_T"	"Melan-2"	"CM1_CD4+_T"
"Melan-2_CM2_CD4+_T"	"Melan-2"	"CM2_CD4+_T"
"Melan-2_EM_CD8+_T"	"Melan-2"	"EM_CD8+_T"
"Melan-2_Treg"	"Melan-2"	"Treg"
"Melan-2_vSMCs"	"Melan-2"	"vSMCs"
"Melan-3_Astrocytes"	"Melan-3"	"Astrocytes"
"Melan-3_B-c1"	"Melan-3"	"B-c1"
"Melan-3_B-c2"	"Melan-3"	"B-c2"
"Melan-3_CD1C+/CLEC10A+_cDC2"	"Melan-3"	"CD1C+/CLEC10A+_cDC2"
