"SampleID"	"PatientID"	"CellType"	"SeuratCluster"
"MGH64_Stroma_13"	"MGH64"	"Stroma"	"13"
"MGH64_Tumor_3"	"MGH64"	"Tumor"	"3"
"MGH64_Tumor_4"	"MGH64"	"Tumor"	"4"
"MGH64_Tumor_5"	"MGH64"	"Tumor"	"5"
"MGH64_Tumor_7"	"MGH64"	"Tumor"	"7"
"MGH64_Tumor_9"	"MGH64"	"Tumor"	"9"
"MGH64_Tumor_12"	"MGH64"	"Tumor"	"12"
"MGH64.P1.A02_Tumor_3"	"MGH64.P1.A02"	"Tumor"	"3"
"MGH64.P1.A03_Tumor_3"	"MGH64.P1.A03"	"Tumor"	"3"
"MGH64.P1.A04_Tumor_7"	"MGH64.P1.A04"	"Tumor"	"7"
"MGH64.P1.A05_Tumor_3"	"MGH64.P1.A05"	"Tumor"	"3"
"MGH64.P1.A06_Tumor_3"	"MGH64.P1.A06"	"Tumor"	"3"
"MGH64.P1.A07_Tumor_3"	"MGH64.P1.A07"	"Tumor"	"3"
"MGH64.P1.A08_Tumor_3"	"MGH64.P1.A08"	"Tumor"	"3"
"MGH64.P1.A09_Tumor_3"	"MGH64.P1.A09"	"Tumor"	"3"
"MGH64.P1.A10_Tumor_3"	"MGH64.P1.A10"	"Tumor"	"3"
"MGH64.P1.A11_Tumor_3"	"MGH64.P1.A11"	"Tumor"	"3"
"MGH64.P1.B01_Tumor_3"	"MGH64.P1.B01"	"Tumor"	"3"
"MGH64.P1.B03_Tumor_3"	"MGH64.P1.B03"	"Tumor"	"3"
"MGH64.P1.B05_Tumor_3"	"MGH64.P1.B05"	"Tumor"	"3"
"MGH64.P1.B06_Tumor_3"	"MGH64.P1.B06"	"Tumor"	"3"
"MGH64.P1.B07_Tumor_3"	"MGH64.P1.B07"	"Tumor"	"3"
"MGH64.P1.B08_Tumor_3"	"MGH64.P1.B08"	"Tumor"	"3"
"MGH64.P1.B09_Tumor_3"	"MGH64.P1.B09"	"Tumor"	"3"
"MGH64.P1.B10_Tumor_3"	"MGH64.P1.B10"	"Tumor"	"3"
"MGH64.P1.B11_Tumor_3"	"MGH64.P1.B11"	"Tumor"	"3"
"MGH64.P1.B12_Tumor_3"	"MGH64.P1.B12"	"Tumor"	"3"
"MGH64.P1.C01_Tumor_3"	"MGH64.P1.C01"	"Tumor"	"3"
"MGH64.P1.C02_Tumor_3"	"MGH64.P1.C02"	"Tumor"	"3"
"MGH64.P1.C03_Tumor_3"	"MGH64.P1.C03"	"Tumor"	"3"
"MGH64.P1.C04_Tumor_3"	"MGH64.P1.C04"	"Tumor"	"3"
"MGH64.P1.C06_Tumor_3"	"MGH64.P1.C06"	"Tumor"	"3"
"MGH64.P1.C07_Tumor_3"	"MGH64.P1.C07"	"Tumor"	"3"
"MGH64.P1.C08_Tumor_3"	"MGH64.P1.C08"	"Tumor"	"3"
"MGH64.P1.C09_Tumor_5"	"MGH64.P1.C09"	"Tumor"	"5"
"MGH64.P1.C10_Tumor_4"	"MGH64.P1.C10"	"Tumor"	"4"
"MGH64.P1.C11_Tumor_3"	"MGH64.P1.C11"	"Tumor"	"3"
"MGH64.P1.D01_Tumor_3"	"MGH64.P1.D01"	"Tumor"	"3"
"MGH64.P1.D02_Tumor_12"	"MGH64.P1.D02"	"Tumor"	"12"
"MGH64.P1.D03_Tumor_3"	"MGH64.P1.D03"	"Tumor"	"3"
"MGH64.P1.D04_Tumor_3"	"MGH64.P1.D04"	"Tumor"	"3"
"MGH64.P1.D05_Tumor_3"	"MGH64.P1.D05"	"Tumor"	"3"
"MGH64.P1.D06_Tumor_3"	"MGH64.P1.D06"	"Tumor"	"3"
"MGH64.P1.D07_Tumor_3"	"MGH64.P1.D07"	"Tumor"	"3"
"MGH64.P1.D08_Tumor_3"	"MGH64.P1.D08"	"Tumor"	"3"
"MGH64.P1.D09_Tumor_3"	"MGH64.P1.D09"	"Tumor"	"3"
"MGH64.P1.D10_Tumor_3"	"MGH64.P1.D10"	"Tumor"	"3"
"MGH64.P1.D11_Tumor_3"	"MGH64.P1.D11"	"Tumor"	"3"
"MGH64.P1.D12_Tumor_3"	"MGH64.P1.D12"	"Tumor"	"3"
"MGH64.P1.E01_Tumor_3"	"MGH64.P1.E01"	"Tumor"	"3"
"MGH64.P1.E02_Tumor_3"	"MGH64.P1.E02"	"Tumor"	"3"
"MGH64.P1.E04_Tumor_3"	"MGH64.P1.E04"	"Tumor"	"3"
"MGH64.P1.E05_Tumor_3"	"MGH64.P1.E05"	"Tumor"	"3"
"MGH64.P1.E06_Tumor_3"	"MGH64.P1.E06"	"Tumor"	"3"
"MGH64.P1.E07_Tumor_5"	"MGH64.P1.E07"	"Tumor"	"5"
"MGH64.P1.E08_Tumor_3"	"MGH64.P1.E08"	"Tumor"	"3"
"MGH64.P1.E09_Tumor_3"	"MGH64.P1.E09"	"Tumor"	"3"
"MGH64.P1.E10_Tumor_3"	"MGH64.P1.E10"	"Tumor"	"3"
"MGH64.P1.E11_Tumor_3"	"MGH64.P1.E11"	"Tumor"	"3"
"MGH64.P1.E12_Tumor_3"	"MGH64.P1.E12"	"Tumor"	"3"
"MGH64.P1.F01_Tumor_3"	"MGH64.P1.F01"	"Tumor"	"3"
"MGH64.P1.F02_Tumor_3"	"MGH64.P1.F02"	"Tumor"	"3"
"MGH64.P1.F03_Tumor_3"	"MGH64.P1.F03"	"Tumor"	"3"
"MGH64.P1.F04_Tumor_3"	"MGH64.P1.F04"	"Tumor"	"3"
"MGH64.P1.F05_Tumor_3"	"MGH64.P1.F05"	"Tumor"	"3"
"MGH64.P1.F07_Tumor_3"	"MGH64.P1.F07"	"Tumor"	"3"
"MGH64.P1.F08_Tumor_5"	"MGH64.P1.F08"	"Tumor"	"5"
"MGH64.P1.F09_Tumor_3"	"MGH64.P1.F09"	"Tumor"	"3"
"MGH64.P1.F10_Tumor_3"	"MGH64.P1.F10"	"Tumor"	"3"
"MGH64.P1.F11_Tumor_3"	"MGH64.P1.F11"	"Tumor"	"3"
"MGH64.P1.F12_Tumor_3"	"MGH64.P1.F12"	"Tumor"	"3"
"MGH64.P1.G01_Tumor_3"	"MGH64.P1.G01"	"Tumor"	"3"
"MGH64.P1.G02_Tumor_3"	"MGH64.P1.G02"	"Tumor"	"3"
"MGH64.P1.G03_Tumor_3"	"MGH64.P1.G03"	"Tumor"	"3"
"MGH64.P1.G04_Tumor_3"	"MGH64.P1.G04"	"Tumor"	"3"
"MGH64.P1.G05_Tumor_3"	"MGH64.P1.G05"	"Tumor"	"3"
"MGH64.P1.G06_Tumor_3"	"MGH64.P1.G06"	"Tumor"	"3"
"MGH64.P1.G07_Tumor_3"	"MGH64.P1.G07"	"Tumor"	"3"
"MGH64.P1.G08_Tumor_3"	"MGH64.P1.G08"	"Tumor"	"3"
