"cnames"	""	""
"MGH36_Myeloid"	"MGH36"	"Myeloid"
"MGH36_Tumor"	"MGH36"	"Tumor"
"MGH53_Myeloid"	"MGH53"	"Myeloid"
"MGH53_Stroma"	"MGH53"	"Stroma"
"MGH53_Tumor"	"MGH53"	"Tumor"
"MGH54_Myeloid"	"MGH54"	"Myeloid"
"MGH54_Stroma"	"MGH54"	"Stroma"
"MGH54_Tumor"	"MGH54"	"Tumor"
"MGH60_Tumor"	"MGH60"	"Tumor"
