""	"GSE141982-GSM4217362-SF12199_Myeloid"	"GSE141982-GSM4217362-SF12199_Stroma"	"GSE141982-GSM4217362-SF12199_Tumor"	"GSE141982-GSM4217363-Mixing_Myeloid"	"GSE141982-GSM4217363-Mixing_Tumor"	"GSE141982-GSM4217364-SF10432_Tumor"
"DNAJC11"	1.1326593274269	1.14496216950002	1.20647240935735	1.47290293099935	1.48546333395857	1
"RP11-312B8.1"	1.00648894627799	1.00871285297201	1.02367351580096	1	1.01109036597983	1
"CAMTA1"	1.61855735815046	2.64206577298261	2.87067744190054	3.42934492702225	4.69989786477126	1
"RP11-334N17.1"	1	1.00871285297201	1.02228769994538	1	1.02396146598171	1
"RP11-338N10.3"	1	1.00436060909983	1	1	1.00555195168802	1
"VAMP3"	1.28097054699553	1.41414201035085	1.06487123749783	1.0967642126882	1.0413157720112	1
"PER3"	1.16565556972282	1.66307985792521	1.12006193926869	1.82917477262636	1.79730231229883	1
"RP3-467L1.4"	1.00648894627799	1.01197158709047	1	1.01231660345899	1.00370281224176	1
"UTS2"	1.00129927747331	1.00109094026639	1.00139939171865	1	1	1
"PARK7"	1.73741693932001	1.66395093850548	1.74783318434024	1.20129442809423	1.20759386365054	1
"ERRFI1"	1.03226224967873	1.35747461662669	1.1439132808807	1.06093766462863	1.0846007604328	1
"RP11-431K24.1"	1.00389559646423	1.01197158709047	1.00977765240984	1.04887635582942	1.0404055912636	1
"SLC45A1"	1.00389559646423	1.0740941285019	1.02090105193616	1.03675333031978	1.05763937902177	1
"RERE"	2.65469297422797	3.721309262645	2.41535944040142	5.19764080029286	5.01243155682371	2.80635343352764
"RP5-1115A15.1"	1.01941165768829	1.01414149759104	1.00977765240984	1.01231660345899	1.01109036597983	1
"ENO1"	1.93215252866815	1.49091782013802	1.65601498284449	1.31290753153971	1.34726765598467	1
"ENO1-AS1"	1.00259780902125	1	1.00139939171865	1	1	1
"CA6"	1	1	1.00419558188275	1	1.00555195168802	1
"SLC2A5"	2.47307120911574	1.01955730813355	1.02367351580096	1.65529424392273	1.05854296818347	1
"GPR157"	1.00778451225067	1.00436060909983	1.00139939171865	1.01231660345899	1.00555195168802	1
"MIR34AHG"	1.24699332979079	1.02172006760967	1.04573510004649	1.52452744528253	1.0702587643686	1
"RP3-510D11.2"	1.01037343527472	1.00218135448674	1.00698832945351	1.01231660345899	1.00462757030768	1
"H6PD"	1.22332032009265	1.18575184078438	1.11339667110104	1.30193936430519	1.22966309786785	1
"SPSB1"	1.05140657788323	1.29487752190463	1.05121828140769	1.37788917194655	1.80586936473577	1
"SLC25A33"	1.33291985459198	1.40195049969219	1.45095498592541	1.51426511515079	1.52565792854775	1
"TMEM201"	1.01683294008092	1.04537852809604	1.07302590468013	1.01231660345899	1.04495298024294	1
"PIK3CD"	1.26578933800873	1.03572900647973	1.01673609361529	1.50397190301182	1.03676133608726	1
"PIK3CD-AS2"	1.01166679588203	1.00327124373965	1	1	1	1
"CLSTN1"	1.36139564945679	1.60513201559995	1.65825367923266	1.53475928419106	1.66208898722842	1.69650651360854
"CTNNBIP1"	1.10669871173527	1.26651530982216	1.2663660594536	1.26878583548278	1.32526576734042	1
"LZIC"	1.10545579178302	1.24481033822485	1.2688866950042	1.12036287475752	1.12449662432034	1
"NMNAT1"	1.10047790915198	1.10560704715411	1.12538153508346	1.20129442809423	1.16030785940732	1
"RBP7"	1.04121565736507	1.2625812628528	1.02228769994538	1	1.01845410089633	1
"UBE4B"	1.44529430739705	2.65907587728546	2.0949628684941	2.1038754970133	2.24855082445059	1
"KIF1B"	1.59854984720748	4.0404243840395	4.07196912545256	4.33108346203858	5.73561061928358	1.69650651360854
"PGD"	1.18380894908312	1.13363227147869	1.25752627343022	1.22397403038808	1.20076740281084	1
"APITD1-CORT"	1.00129927747331	1.00218135448674	1.01534609557155	1.01231660345899	1.00832284223168	1
"DFFA"	1.10669871173527	1.18575184078438	1.16493105426572	1.20129442809423	1.22458585384461	1
"RP5-1113E3.3"	1	1.00109094026639	1.00559238486473	1	1	1
