"cnames"	""	""
"GSE139948-GSM4141788-92017_Myeloid"	"GSE139948-GSM4141788-92017"	"Myeloid"
"GSE139948-GSM4141788-92017_Tumor"	"GSE139948-GSM4141788-92017"	"Tumor"
"GSE139948-GSM4141789-92217_Myeloid"	"GSE139948-GSM4141789-92217"	"Myeloid"
"GSE139948-GSM4141789-92217_Stroma"	"GSE139948-GSM4141789-92217"	"Stroma"
"GSE139948-GSM4141789-92217_Tumor"	"GSE139948-GSM4141789-92217"	"Tumor"
"GSE139948-GSM4141790-92717_Myeloid"	"GSE139948-GSM4141790-92717"	"Myeloid"
"GSE139948-GSM4141790-92717_Stroma"	"GSE139948-GSM4141790-92717"	"Stroma"
"GSE139948-GSM4141790-92717_Tumor"	"GSE139948-GSM4141790-92717"	"Tumor"
