"SampleID"	"PatientID"	"CellType"
"g1_Tcells"	"g1"	"Tcells"
"g1_Tumor"	"g1"	"Tumor"
"g10_Tcells"	"g10"	"Tcells"
"g10_Tumor"	"g10"	"Tumor"
"g11_Tcells"	"g11"	"Tcells"
"g11_Tumor"	"g11"	"Tumor"
"g12_Stroma"	"g12"	"Stroma"
"g12_Tcells"	"g12"	"Tcells"
"g12_Tumor"	"g12"	"Tumor"
"g13_Tcells"	"g13"	"Tcells"
"g13_Tumor"	"g13"	"Tumor"
"g14_Myeloid"	"g14"	"Myeloid"
"g14_Stroma"	"g14"	"Stroma"
"g14_Tcells"	"g14"	"Tcells"
"g14_Tumor"	"g14"	"Tumor"
"g15_Bcells"	"g15"	"Bcells"
"g15_Myeloid"	"g15"	"Myeloid"
"g15_Stroma"	"g15"	"Stroma"
"g15_Tcells"	"g15"	"Tcells"
"g15_Tumor"	"g15"	"Tumor"
"g16_Myeloid"	"g16"	"Myeloid"
"g16_Tcells"	"g16"	"Tcells"
"g16_Tumor"	"g16"	"Tumor"
"g17_Myeloid"	"g17"	"Myeloid"
"g17_Stroma"	"g17"	"Stroma"
"g17_Tcells"	"g17"	"Tcells"
"g17_Tumor"	"g17"	"Tumor"
"g18_Stroma"	"g18"	"Stroma"
"g18_Tcells"	"g18"	"Tcells"
"g18_Tumor"	"g18"	"Tumor"
"g19_Stroma"	"g19"	"Stroma"
"g19_Tcells"	"g19"	"Tcells"
"g19_Tumor"	"g19"	"Tumor"
"g2_Myeloid"	"g2"	"Myeloid"
"g2_Stroma"	"g2"	"Stroma"
"g2_Tcells"	"g2"	"Tcells"
"g2_Tumor"	"g2"	"Tumor"
"g20_Tcells"	"g20"	"Tcells"
"g20_Tumor"	"g20"	"Tumor"
"g21_Tcells"	"g21"	"Tcells"
"g21_Tumor"	"g21"	"Tumor"
"g22_Stroma"	"g22"	"Stroma"
"g22_Tcells"	"g22"	"Tcells"
"g22_Tumor"	"g22"	"Tumor"
"g23_Tcells"	"g23"	"Tcells"
"g23_Tumor"	"g23"	"Tumor"
"g24_Tcells"	"g24"	"Tcells"
"g24_Tumor"	"g24"	"Tumor"
"g25_Tcells"	"g25"	"Tcells"
"g25_Tumor"	"g25"	"Tumor"
"g26_Tcells"	"g26"	"Tcells"
"g26_Tumor"	"g26"	"Tumor"
"g27_Tcells"	"g27"	"Tcells"
"g27_Tumor"	"g27"	"Tumor"
"g28_Myeloid"	"g28"	"Myeloid"
"g28_Stroma"	"g28"	"Stroma"
"g28_Tcells"	"g28"	"Tcells"
"g28_Tumor"	"g28"	"Tumor"
"g29_Tcells"	"g29"	"Tcells"
"g29_Tumor"	"g29"	"Tumor"
"g3_Bcells"	"g3"	"Bcells"
"g3_Myeloid"	"g3"	"Myeloid"
"g3_Stroma"	"g3"	"Stroma"
"g3_Tcells"	"g3"	"Tcells"
"g3_Tumor"	"g3"	"Tumor"
"g30_Stroma"	"g30"	"Stroma"
"g30_Tcells"	"g30"	"Tcells"
"g30_Tumor"	"g30"	"Tumor"
"g31_Tcells"	"g31"	"Tcells"
"g31_Tumor"	"g31"	"Tumor"
"g32_Myeloid"	"g32"	"Myeloid"
"g32_Tcells"	"g32"	"Tcells"
"g32_Tumor"	"g32"	"Tumor"
"g33_Stroma"	"g33"	"Stroma"
"g33_Tcells"	"g33"	"Tcells"
"g33_Tumor"	"g33"	"Tumor"
"g34_Myeloid"	"g34"	"Myeloid"
"g34_Stroma"	"g34"	"Stroma"
"g34_Tcells"	"g34"	"Tcells"
"g34_Tumor"	"g34"	"Tumor"
"g35_Myeloid"	"g35"	"Myeloid"
"g35_Tcells"	"g35"	"Tcells"
"g35_Tumor"	"g35"	"Tumor"
"g36_Myeloid"	"g36"	"Myeloid"
"g36_Tcells"	"g36"	"Tcells"
"g36_Tumor"	"g36"	"Tumor"
"g37_Stroma"	"g37"	"Stroma"
"g37_Tcells"	"g37"	"Tcells"
"g37_Tumor"	"g37"	"Tumor"
"g38_Bcells"	"g38"	"Bcells"
"g38_Stroma"	"g38"	"Stroma"
"g38_Tcells"	"g38"	"Tcells"
"g38_Tumor"	"g38"	"Tumor"
"g39_Myeloid"	"g39"	"Myeloid"
"g39_Stroma"	"g39"	"Stroma"
"g39_Tcells"	"g39"	"Tcells"
"g39_Tumor"	"g39"	"Tumor"
"g4_Myeloid"	"g4"	"Myeloid"
"g4_Stroma"	"g4"	"Stroma"
"g4_Tcells"	"g4"	"Tcells"
"g4_Tumor"	"g4"	"Tumor"
"g40_Bcells"	"g40"	"Bcells"
"g40_Stroma"	"g40"	"Stroma"
"g40_Tcells"	"g40"	"Tcells"
"g40_Tumor"	"g40"	"Tumor"
"g41_Bcells"	"g41"	"Bcells"
"g41_Stroma"	"g41"	"Stroma"
"g41_Tcells"	"g41"	"Tcells"
"g41_Tumor"	"g41"	"Tumor"
"g42_Tcells"	"g42"	"Tcells"
"g42_Tumor"	"g42"	"Tumor"
"g43_Stroma"	"g43"	"Stroma"
