"SampleID"	"PatientID"	"CellType"
"g43_Tcells"	"g43"	"Tcells"
"g43_Tumor"	"g43"	"Tumor"
"g44_Bcells"	"g44"	"Bcells"
"g44_Stroma"	"g44"	"Stroma"
"g44_Tcells"	"g44"	"Tcells"
"g44_Tumor"	"g44"	"Tumor"
"g5_Myeloid"	"g5"	"Myeloid"
"g5_Tcells"	"g5"	"Tcells"
"g5_Tumor"	"g5"	"Tumor"
"g6_Myeloid"	"g6"	"Myeloid"
"g6_Stroma"	"g6"	"Stroma"
"g6_Tcells"	"g6"	"Tcells"
"g6_Tumor"	"g6"	"Tumor"
"g7_Myeloid"	"g7"	"Myeloid"
"g7_Stroma"	"g7"	"Stroma"
"g7_Tcells"	"g7"	"Tcells"
"g7_Tumor"	"g7"	"Tumor"
"g8_Bcells"	"g8"	"Bcells"
"g8_Myeloid"	"g8"	"Myeloid"
"g8_Stroma"	"g8"	"Stroma"
"g8_Tcells"	"g8"	"Tcells"
"g8_Tumor"	"g8"	"Tumor"
"g9_Stroma"	"g9"	"Stroma"
"g9_Tcells"	"g9"	"Tcells"
"g9_Tumor"	"g9"	"Tumor"
