"cnames"	""	""	""
"g20_Tumor_27"	"g20"	"Tumor"	"27"
"g20_Tumor_28"	"g20"	"Tumor"	"28"
"g21_Tcells_0"	"g21"	"Tcells"	"0"
"g21_Tcells_1"	"g21"	"Tcells"	"1"
"g21_Tcells_6"	"g21"	"Tcells"	"6"
"g21_Tumor_4"	"g21"	"Tumor"	"4"
"g21_Tumor_26"	"g21"	"Tumor"	"26"
"g21_Tumor_27"	"g21"	"Tumor"	"27"
"g21_Tumor_28"	"g21"	"Tumor"	"28"
"g22_Stroma_24"	"g22"	"Stroma"	"24"
"g22_Tcells_0"	"g22"	"Tcells"	"0"
"g22_Tcells_1"	"g22"	"Tcells"	"1"
"g22_Tcells_6"	"g22"	"Tcells"	"6"
"g22_Tcells_9"	"g22"	"Tcells"	"9"
"g22_Tumor_4"	"g22"	"Tumor"	"4"
"g22_Tumor_7"	"g22"	"Tumor"	"7"
"g22_Tumor_15"	"g22"	"Tumor"	"15"
"g22_Tumor_27"	"g22"	"Tumor"	"27"
"g23_Tcells_0"	"g23"	"Tcells"	"0"
"g23_Tcells_1"	"g23"	"Tcells"	"1"
"g23_Tcells_6"	"g23"	"Tcells"	"6"
"g23_Tumor_7"	"g23"	"Tumor"	"7"
"g23_Tumor_27"	"g23"	"Tumor"	"27"
"g24_Tcells_0"	"g24"	"Tcells"	"0"
"g24_Tcells_1"	"g24"	"Tcells"	"1"
"g24_Tcells_6"	"g24"	"Tcells"	"6"
"g24_Tcells_9"	"g24"	"Tcells"	"9"
"g24_Tumor_7"	"g24"	"Tumor"	"7"
"g24_Tumor_17"	"g24"	"Tumor"	"17"
"g24_Tumor_20"	"g24"	"Tumor"	"20"
"g24_Tumor_27"	"g24"	"Tumor"	"27"
"g25_Tcells_0"	"g25"	"Tcells"	"0"
"g25_Tcells_1"	"g25"	"Tcells"	"1"
"g25_Tcells_6"	"g25"	"Tcells"	"6"
"g25_Tcells_9"	"g25"	"Tcells"	"9"
"g25_Tumor_4"	"g25"	"Tumor"	"4"
"g25_Tumor_5"	"g25"	"Tumor"	"5"
"g25_Tumor_7"	"g25"	"Tumor"	"7"
"g25_Tumor_15"	"g25"	"Tumor"	"15"
"g25_Tumor_21"	"g25"	"Tumor"	"21"
"g25_Tumor_27"	"g25"	"Tumor"	"27"
"g26_Tcells_0"	"g26"	"Tcells"	"0"
"g26_Tcells_1"	"g26"	"Tcells"	"1"
"g26_Tcells_6"	"g26"	"Tcells"	"6"
"g26_Tumor_7"	"g26"	"Tumor"	"7"
"g26_Tumor_27"	"g26"	"Tumor"	"27"
"g27_Tcells_0"	"g27"	"Tcells"	"0"
"g27_Tcells_1"	"g27"	"Tcells"	"1"
"g27_Tcells_6"	"g27"	"Tcells"	"6"
"g27_Tcells_9"	"g27"	"Tcells"	"9"
"g27_Tumor_4"	"g27"	"Tumor"	"4"
"g27_Tumor_7"	"g27"	"Tumor"	"7"
"g27_Tumor_14"	"g27"	"Tumor"	"14"
"g27_Tumor_20"	"g27"	"Tumor"	"20"
"g27_Tumor_27"	"g27"	"Tumor"	"27"
"g28_Myeloid_16"	"g28"	"Myeloid"	"16"
"g28_Myeloid_23"	"g28"	"Myeloid"	"23"
"g28_Stroma_24"	"g28"	"Stroma"	"24"
"g28_Tcells_0"	"g28"	"Tcells"	"0"
"g28_Tcells_1"	"g28"	"Tcells"	"1"
"g28_Tcells_6"	"g28"	"Tcells"	"6"
"g28_Tcells_9"	"g28"	"Tcells"	"9"
"g28_Tumor_3"	"g28"	"Tumor"	"3"
"g28_Tumor_4"	"g28"	"Tumor"	"4"
"g28_Tumor_7"	"g28"	"Tumor"	"7"
"g28_Tumor_17"	"g28"	"Tumor"	"17"
"g28_Tumor_20"	"g28"	"Tumor"	"20"
"g28_Tumor_27"	"g28"	"Tumor"	"27"
"g29_Tcells_0"	"g29"	"Tcells"	"0"
"g29_Tcells_1"	"g29"	"Tcells"	"1"
"g29_Tcells_6"	"g29"	"Tcells"	"6"
